Date,Forecasted_Demand,Product
2023-08-07,0.28362507136552945,Carrots
2023-08-08,0.6330987619059449,Carrots
2023-08-09,0.14763922748272226,Carrots
2023-08-10,0.42915284321940317,Carrots
2023-08-11,0.34174231099937813,Carrots
2023-08-12,0.14028109432762237,Carrots
2023-08-13,0.31671488124941394,Carrots
2023-08-14,0.2845028185482686,Carrots
2023-08-15,0.6339765090895695,Carrots
2023-08-16,0.14851697466658312,Carrots
2023-08-17,0.43003059040343883,Carrots
2023-08-18,0.3426200581814947,Carrots
2023-08-19,0.1411588415103779,Carrots
2023-08-20,0.3175926284312236,Carrots
2023-08-21,0.2853805657319093,Carrots
2023-08-22,0.6348542562725827,Carrots
2023-08-23,0.14939472184917366,Carrots
2023-08-24,0.4309083375864323,Carrots
2023-08-25,0.3434978053660969,Carrots
2023-08-26,0.14203658869259445,Carrots
2023-08-27,0.31847037561563407,Carrots
2023-08-28,0.28625831291555,Carrots
2023-08-29,0.6357320034556985,Carrots
2023-08-30,0.15027246903239933,Carrots
2023-08-31,0.43178608491965664,Carrots
2023-09-01,0.3443755528475059,Carrots
2023-09-02,0.14291433632428857,Carrots
2023-09-03,0.31934812339680013,Carrots
2023-09-04,0.28713606084697085,Carrots
2023-09-05,0.6366097515370976,Carrots
2023-09-06,0.1511502172631482,Carrots
2023-09-07,0.4326638331491311,Carrots
2023-09-08,0.3452533010771456,Carrots
2023-09-09,0.14379208455576456,Carrots
2023-09-10,0.3202258716278193,Carrots
2023-09-11,0.28801380907733654,Carrots
2023-09-12,0.6374874997677364,Carrots
2023-09-13,0.15202796549389716,Carrots
2023-09-14,0.43354158138069,Carrots
2023-09-15,0.3461310493080282,Carrots
2023-09-16,0.1446698327867015,Carrots
2023-09-17,0.32110361985883845,Carrots
2023-09-18,0.28889155730759897,Carrots
2023-09-19,0.6383652479981707,Carrots
2023-09-20,0.15290571372401085,Carrots
2023-09-21,0.43441932961120655,Carrots
2023-09-22,0.34700879753930264,Carrots
2023-09-23,0.14554757957820774,Carrots
